stable_id,equivalent_to,walsh_spectrum
6,6.1,Gold,Gold
6,6.2,C3,Gold
6,6.3,C7-C9,Gold
apn-gf-2-7-0001,Gold,Gold
apn-gf-2-7-0002,Gold,Gold
apn-gf-2-7-0003,Gold,Gold
apn-gf-2-7-0004,Kasami,Gold
apn-gf-2-7-0005,Kasami,Gold
apn-gf-2-7-0006,Inverse,Inverse
apn-gf-2-7-0007,C4,Gold
8,8.1,Gold,Gold
8,8.2,Gold,Gold
8,8.3,Kasami,Gold
8,8.4,C3,Gold
8,8.5,C4,Gold
8,8.6,C4,Gold
8,8.7,C10,Gold
8,8.8,C11,Gold
8,8.9,C12,Gold
8,8.10,C12,Gold
9,9.1,Gold,Gold
9,9.2,Gold,Gold
9,9.3,Gold,Gold
9,9.4,Kasami,Gold
9,9.5,Kasami,Gold
9,9.6,Welch,Gold
9,9.7,Inverse,Inverse
9,9.8,C4,Gold
9,9.9,C5,Gold
9,9.10,C6,Gold
9,9.11,C11,Gold
10,10.1,Gold,Gold
10,10.2,Gold,Gold
10,10.3,Kasami,Gold
10,10.4,Dobbertin,Dobbertin
10,10.5,C3,Gold
10,10.6,C3,Gold
10,10.7,C4,Gold
10,10.8,C4,Gold
10,10.9,C13,Gold
10,10.10,C13,Gold
10,10.11,C12,Gold
10,10.12,C12,Gold
10,10.13,C12,Gold
10,10.14,C12,Gold
10,10.15,C12,Gold
10,10.16,C12,Gold
10,10.17,C13,Gold
11,11.1,Gold,Gold
11,11.2,Gold,Gold
11,11.3,Gold,Gold
11,11.4,Gold,Gold
11,11.5,Gold,Gold
11,11.6,Kasami,Gold
11,11.7,Kasami,Gold
11,11.8,Kasami,Gold
11,11.9,Kasami,Gold
11,11.10,Welch,Gold
11,11.11,Niho,Gold
11,11.12,Inverse,Inverse
11,11.13,C4,Gold
