ID,Representative,Equivalent to,Orthoderivative diff. spec.
"8.1",`\alpha^{170}x^{192}+\alpha^{85}x^{132}+x^{6}+x^{3}`,`SW 19`,"`037872,222788,44068,6492,860`"
"8.2",`x^{66}+\alpha^{85}x^{33}+x^{18}+x^{9}+x^{3}`,`SW 11`,"`038040,222461,44218,6513,836,1012`"
"8.3",`x^{66}+\alpha^{85}x^{33}+\alpha^{17}x^{9}+\alpha^{102}x^{6}+x^{3}`,`SW 13`,"`038076,222311,44374,6495,824`"
"8.4",`\alpha^{85}x^{132}+\alpha^{85}x^{72}+x^{9}+x^{6}+x^{3}`,`SW 12`,"`038160,222104,44536,6456,824`"
"8.5",`x^{66}+x^{12}+\alpha^{85}x^{6}+x^{3}`,`SW 6`,"`038160,222164,44428,6492,836`"
"8.6",`x^{129}+\alpha^{85}x^{24}+x^{12}+x^{9}+x^{3}`,`SW 8`,"`038184,222179,44338,6531,848`"
"8.7",`\alpha^{170}x^{132}+\alpha^{85}x^{66}+\alpha^{85}x^{18}+x^{3}`,`new`,"`038196,222008,44608,6456,812`"
"8.8",`\alpha^{85}x^{132}+\alpha^{85}x^{72}+x^{36}+x^{24}+x^{3}`,`SW 9`,"`038256,222116,44230,6648,830`"
"8.9",`\alpha^{85}x^{192}+x^{72}+x^{33}+x^{24}+x^{9}+\alpha^{153}x^{6}`,`SW 17`,"`038388,221723,44626,6507,836`"
"8.1",`\alpha^{221}x^{96}+\alpha^{221}x^{33}+x^{12}+x^{9}+x^{6}+\alpha^{187}x^{3}`,`SW 10`,"`038439,221618,44671,6528,824`"
"8.1",`\alpha^{238}x^{144}+x^{132}+\alpha^{51}x^{96}+\alpha^{119}x^{48}+x^{33}+x^{9}`,`SW 16`,"`038457,221552,44743,6510,818`"
"8.1",`\alpha^{204}x^{160}+\alpha^{51}x^{48}+\alpha^{102}x^{12}+\alpha^{204}x^{10}+x^{9}`,`SW 22`,"`038844,220974,44764,6654,844`"
"8.1",`\alpha^{160}x^{132}+\alpha^{10}x^{72}+x^{48}+\alpha x^{34}+\alpha^{3}x^{33}+\alpha^{48}x^{18}+x^{17}+x^{3}`,`B 31`,"`039150,220463,44920,6675,854,1012,126`"
"8.1",`x^{144}+\alpha^{85}x^{96}+\alpha^{170}x^{80}+\alpha^{85}x^{65}+\alpha^{85}x^{17}+x^{9}+x^{5}`,`B 12668`,"`039408,220072,44922,6798,870,1010`"
"8.1",`x^{66}+\alpha^{170}x^{40}+x^{18}+\alpha^{85}x^{5}+x^{3}`,`Y 4346`,"`039408,220218,44692,6838,8104,1012,128`"
"8.1",`x^{160}+x^{132}+x^{80}+x^{68}+x^{6}+x^{3}`,`SW 20`,"`039692,219752,44756,6978,872,1026,124`"
