`N^\circ`,Functions*,`n=6`,`n=7`,`n=8`,`n=9`,`n=10`,`n=11`
`1`,`x^{2^s+1}+u^{2^k-1}x^{2^{ik}+2^{mk+s}}` `p=3`,Gold,-,-,-,-,-
`2`,`x^{2^s+1}+u^{2^k-1}x^{2^{ik}+2^{mk+s}}` `p=4`,-,-,-,-,-,-
`3`,`x^{2^{2i}+2^i}+bx^{q+1}+cx^{q(2^{2i}+2^i)}`,New,-,-,-,"New I (`i=1, c=u^{31}, b=1`) New II (`i=3, c=u^{31}, b=1`)",-
`4`,`x(x^{2^i}+x^q+cx^{2^iq})+x^{2^i}(c^qx^q+sx^{2^iq})+x^{(2^i+1)}q`,`N^\circ 3`,-,New,-,"`N^\circ3`: Case I (`i=1, c=u^3, s=u`) `N^\circ3`: Case II (`i=3, c=u^3, s=w`)",-
`5`,`x^3+a^{-1}tr_n(a^3x^9)`,Gold (`a=1`) `N^\circ 3 (a=u)`,New,New I (`a=1`) New II (`a=u`),New,New I (`a=1`) New II (`a=u`),New
`6`,`x^3+a^{-1}tr_n^3(a^3x^9+a^6x^{18})`,Gold (`a=1`) `N^\circ 3 (a=u)`,-,-,New,-,-
`7`,`x^3+a^{-1}tr_n^3(a^6x^{18}+a^{12}x^{36})`,Gold (`a=1`) `N^\circ 3 (a=u)`,-,-,New,-,-
`8`,"`ux^{2^s+1}+u^{2^k}x^{2^{-k}+2^{k+s}}+vx^{2^{-k}+1}+wu^{2^k+1} x^{2^{s}+2^{k+s}}` `v=0, w\ne0`",New,-,-,-,-,-
`9`,"`ux^{2^s+1}+u^{2^k}x^{2^{-k}+2^{k+s}}+vx^{2^{-k}+1}+wu^{2^k+1} x^{2^{s}+2^{k+s}}` `v\ne0, w=0`",`N^\circ8`,-,-,-,-,-
`10`,"`ux^{2^s+1}+u^{2^k}x^{2^{-k}+2^{k+s}}+vx^{2^{-k}+1}+wu^{2^k+1} x^{2^{s}+2^{k+s}}` `v\ne0, w=0`",`N^\circ8`,-,-,-,-,-
`11`,`(x+x^{2^m})^{2^k+1}+u^{(2^{n}-1)/(2^m-1)}(u x+u^{2^m}x^{2^m})^{(2^k+1)2^i}+u(x+x^{2^m})(u x+u ^{2^m}x^{2^m})`,`-`,-,New (`i=2`) `N^\circ4 (i=0)`,-,-,-
