Dimension,N^o,Function,Equivalent to,Walsh spectrum,Gamma-rank,Delta-rank,Multiplier group
`6`,`6.1`,`x^{3}`,`Gold`,`Gold`,`1102`,`94`,`24192 = 2^{7} * 3^{3} * 7`
`6`,`6.2`,`x^{24}+ax^{17}+a^{8}x^{10}+ax^{9}+x^{3}`,`C3`,`Gold`,`1146`,`94`,`4032 = 2^{6} * 3^{2} * 7`
`6`,`6.3`,`ax^{3}+x^{17}+a^{4}x^{24}`,`C7-C9`,`Gold`,`1166`,`96`,`896 = 2^{7} * 7`
`7`,`7.1`,`x^{3}`,`Gold`,`Gold`,`3610`,`198`,`113792 = 2^{7} * 7 * 127`
`7`,`7.2`,`x^{5}`,`Gold`,`Gold`,`3708`,`198`,`113792 = 2^{7} * 7 * 127`
`7`,`7.3`,`x^{9}`,`Gold`,`Gold`,`3610`,`198`,`113792 = 2^{7} * 7 * 127`
`7`,`7.4`,`x^{13}`,`Kasami`,`Gold`,`4270`,`338`,`889 = 7 * 127`
`7`,`7.5`,`x^{57}`,`Kasami`,`Gold`,`4704`,`436`,`889 = 7 * 127`
`7`,`7.6`,`x^{63}`,`Inverse`,`Inverse`,`8128`,`4928`,`1778 = 2 * 7 * 127`
`7`,`7.7`,`x^{3}+Tr_{7}(x^{9})`,`C4`,`Gold`,`4026`,`212`,`896 = 2^{7} * 7`
`8`,`8.1`,`x^{3}`,`Gold`,`Gold`,`11818`,`420`,`522240 = 2^{11} * 3 * 5 * 17`
`8`,`8.2`,`x^{9}`,`Gold`,`Gold`,`12370`,`420`,`522240 = 2^{11} * 3 * 5 * 17`
`8`,`8.3`,`x^{57}`,`Kasami`,`Gold`,`15358`,`960`,`2040 = 2^{3} * 3 * 5 * 17`
`8`,`8.4`,`x^{3}+x^{17}+p^{48}x^{18}+p^{3}x^{33}+px^{34}+x^{48}`,`C3`,`Gold`,`13200`,`414`,`46080 = 2^{10} * 3^{2} * 5`
`8`,`8.5`,`x^{3}+Tr_{8}(x^{9})`,`C4`,`Gold`,`13800`,`432`,`6144 = 2^{11} * 3`
`8`,`8.6`,`x^{3}+a^{-1}Tr_{8}(a^{3}x^{9})`,`C4`,`Gold`,`13842`,`436`,`3072 = 2^{10} * 3`
`8`,`8.7`,`(x+x^{16})^{3}+a(x+x^{16})(ax+a^{16}x^{16})+a^{17}(ax+a^{16}x^{16})^{12}`,`C10`,`Gold`,`13642`,`436`,`46080 = 2^{10} * 3^{2} * 5`
`8`,`8.8`,`x^{9}+Tr_{8}(x^{3})`,`C11`,`Gold`,`13804`,`434`,`6144 = 2^{11} * 3`
