Delta-rank,Indices
``414``,``4``
``420``,"``1, 2``"
``432``,``5``
``434``,``6``
``436``,"``7, 8190``"
``438``,"``8, 9, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 8181, 8182, 8183, 8184, 8185, 8186, 8187, 8188, 8189, 8191, 8192``"
``446``,"``11, 3915, 6266``"
``450``,``4733``
``452``,"``222, 302, 476, 505, 744, 767, 789, 838, 890, 969, 975, 1050, 1186, 1345, 1353, 1516, 1544, 1586, 1669, 1991, 2067, 2117, 2190, 2259, 2267, 2446, 2458, 2515, 2686, 2849, 2870, 2882, 2903, 2943, 3094, 3243, 3271, 3382, 3470, 3497, 3553, 3571, 3606, 3619, 3679, 3748, 3896, 4037, 4121, 4156, 4244, 4251, 4431, 4441, 4693, 4799, 4915, 4975, 5114, 5130, 5219, 5313, 5382, 5447, 5475, 5516, 5650, 5663, 5709, 6049, 6106, 6222, 6484, 6637, 6663, 6741, 6742, 6898, 6903, 7070, 7180, 7254, 7289, 7349, 7918, 7977, 7991``"
``454``,``all remaining indices between 1 and 8180``
``960``,``3``
