Dimension,`N^\circ`,Functions,Families,Relation
`6`,`-`,`-`,`-`,`-`
`7`,`7.1`,`x^{34}+x^{33}+x^{12}+x^{6}+x^{5}+x^{3}`,`-`,`Table 7: No 14.2`
`7`,`7.2`,`x^{40}+x^{24}+x^{20}+x^{9}+x^{5}+x^{3}`,`-`,`Table 7: No 14.1`
`7`,`7.3`,`x^{33}+x^{24}+x^{20}+x^{18}+x^{12}+x^{3}`,`-`,`Table 7: No 12.1`
`7`,`7.4`,`x^{24}+x^{17}+x^{12}+x^{10}+x^{6}+x^{3}`,`-`,`Table 7: No 2.1`
`7`,`7.5`,`x^{40}+x^{34}+x^{18}+x^{17}+x^{5}+x^{3}`,`N^\circ5`,`Table 7: No 1.2`
`7`,`7.6`,`x^{48}+x^{40}+x^{18}+x^{10}+x^{5}+x^{3}`,`-`,`Table 7: No 11.1`
`7`,`7.7`,`x^{40}+x^{12}+x^{10}+x^{9}+x^{5}+x^{3}`,`-`,`Table 7: No 2.2`
`7`,`7.8`,`x^{34}+x^{24}+x^{10}+x^{9}+x^{6}+x^{3}`,`-`,`Table 7: No 9.1`
`7`,`7.9`,`x^{34}+x^{33}+x^{20}+x^{17}+x^{10}+x^{3}`,`-`,`Table 7: No 13.1`
`7`,`7.10`,`x^{36}+x^{33}+x^{24}+x^{9}+x^{6}+x^{3}`,`-`,`Table 7: No 10.1`
`7`,`7.11`,`x^{40}+x^{36}+x^{20}+x^{10}+x^{5}+x^{3}`,`-`,`Table 7: No 10.2`
`7`,`7.12`,`x^{36}+x^{34}+x^{20}+x^{10}+x^{9}+x^{3}`,`-`,`Table 7: No 8.1`
`8`,`8.1`,`x^{68}+x^{34}+x^{17}+x^{12}+x^{9}+x^{3}`,`-`,`Table 9: No 5.1`
`8`,`8.2`,`x^{72}+x^{40}+x^{34}+x^{20}+x^{12}+x^{3}`,`N^\circ5`,`Table 9: No 6.1`
`8`,`8.3`,`x^{72}+x^{66}+x^{34}+x^{18}+x^{10}+x^{5}`,`-`,`Table 9: No 4.1`
`9`,`-`,`-`,`-`,`-`
`10`,`-`,`-`,`-`,`-`
`11`,`-`,`-`,`-`,`-`
