Dim,`N^\circ`,Function,Families,Related to
`6`,`-`,`-`,`-`,`-`
`7`,`7.1`,`x^{68}+x^{40}+x^{24}+x^{6}+x^{3}`,`-`,Table 7: <br> `N^\circ` `13.1`
`7`,`7.2`,`x^{65}+x^{20}+x^{18}+x^{6}+x^{3}`,`N^\circ5`,Table 7: <br> `N^\circ` `1.2`
`7`,`7.3`,`x^{40}+x^{34}+x^{18}+x^{10}+x^{3}`,`-`,Table 7: <br> `N^\circ` `12.1`
`7`,`7.4`,`x^{48}+x^{40}+x^{10}+x^{9}+x^{3}`,`-`,Table 7: <br> `N^\circ` `1.2`
`7`,`7.5`,`x^{33}+x^{9}+x^{6}+x^{5}+x^{3}`,`-`,Table 7: <br> `N^\circ` `11.1`
`7`,`7.6`,`x^{40}+x^{36}+x^{34}+x^{24}+x^{3}`,`-`,Table 7: <br> `N^\circ` `10.1`
`7`,`7.7`,`x^{24}+x^{10}+x^{9}+x^{6}+x^{3}`,`-`,Table 7: <br> `N^\circ` `2.1`
`7`,`7.8`,`x^{65}+x^{36}+x^{20}+x^{17}+x^{3}`,`-`,Table 7: <br> `N^\circ` `14.1`
`7`,`7.9`,`x^{40}+x^{33}+x^{17}+x^{5}+x^{3}`,`-`,Table 7: <br> `N^\circ` `8.1`
`7`,`7.10`,`x^{36}+x^{33}+x^{18}+x^{9}+x^{5}`,`-`,Table 7: <br> `N^\circ` `10.1`
`8`,`8.1`,`x^{36}+x^{33}+x^{9}+x^{6}+x^{3}`,`-`,Table 9: <br> `N^\circ` `1.4`
`8`,`8.2`,`x^{72}+x^{66}+x^{12}+x^{6}+x^{3}`,`N^\circ5`,Table 9: <br> `N^\circ` `1.3`
`8`,`8.3`,`x^{130}+x^{66}+x^{40}+x^{12}+x^{3}`,`-`,Table 9: <br> `N^\circ` `6.1`
`8`,`8.4`,`x^{66}+x^{40}+x^{18}+x^{5}+x^{3}`,`-`,Table 9: <br> `N^\circ` `5.1`
`9`,`-`,`-`,`-`,`-`
`10`,`-`,`-`,`-`,`-`
`11`,`-`,`-`,`-`,`-`
