`N^\circ`,Functions,Conditions,References
C1-C2,`x^{2^s+1} + u^{2^k-1}x^{2^{ik}+2^{mk+s}}`,"`n = pk`<br>`\gcd(k, 3) = \gcd(s, 3k) = 1`<br>`p \in \{3, 4\}`<br>`i = sk \pmod p`<br>`m = p - i`<br>`n \geq 12`<br>`u` primitive in `\mathbb{F}_{2^n}^*`",:cite:p:`Budaghyan:200809`
C3,`sx^{q+1} + x^{2^i+1} + x^{q(2^i+1)} + cx^{2^iq+1} + c^qx^{2^i+q}`,"`q = 2^m`<br>`n = 2m`<br>`\gcd(i, m) = 1`<br>`c \in \mathbb{F}_{2^n}`<br>`s \in \mathbb{F}_{2^n} \setminus \mathbb{F}_q`<br>`X^{2^i+1} + cX^{2^i} + c^qX + 1` has no solution `x` s.t. `x^{q+1} = 1`",:cite:p:`Budaghyan:200805`
C4,`x^3 + a^{-1}\text{Tr}_n(a^3x^9)`,`a \neq 0`,:cite:p:`Budaghyan:200904`
C5,`x^3 + a^{-1}\text{Tr}_n^3(a^3x^9 + a^6x^{18})`,`3|n`<br>`a \neq 0`,:cite:p:`Budaghyan:200910`
C6,`x^3 + a^{-1}\text{Tr}_n^3(a^6x^{18} + a^{12}x^{36})`,`3|n`<br>`a \neq 0`,:cite:p:`Budaghyan:200910`
C7-C9,`ux^{2^s+1} + u^{2^k}x^{2^{-k}+2^{k+s}} + vx^{2^{-k}+1} + wu^{2^k+1}x^{2^s+2^{k+s}}`,"`n = 3k`<br>`\gcd(k, 3) = \gcd(s, 3k) = 1`<br>`v, w \in \mathbb{F}_{2^k}`<br>`vw \neq 1`<br>`3|(k+s)`<br>`u` primitive in `\mathbb{F}_{2^n}^*`",:cite:p:`Bracken:201103`
C10,`(x+x^{2^m})^{2^k+1} + u'(ux+u^{2^m}x^{2^m})^{(2^k+1)2^i} + u(x+x^{2^m})(ux+u^{2^m}x^{2^m})`,"`n=2m`<br>`m \geq 2` even<br>`\gcd(k,m)=1` and `i \geq 2` even<br>`u` primitive in `\mathbb{F}_{2^n}^*`<br>`u' \in \mathbb{F}_{2^m}` not a cube",:cite:p:`Zhou:201302`
C11,`L(x)^{2^i}x + L(x)x^{2^i}`,"`n=km`<br>`m > 1`<br>`\gcd(n,i)=1`<br>`L(x) = \sum_{j=0}^{k-1} a_j x^{2^{jm}}` satisfies conditions in Theorem 6.3 of [7]",:cite:p:`Budaghyan:202008`
C12,`ut(x)(x^q+x) + t(x)^{2^{2i}+2^{3i}} + at(x)^{2^{2i}}(x^q+x)^{2^i} + b(x^q+x)^{2^i+1}`,"`n=2m`<br>`q=2^m`<br>`\gcd(m,i)=1`<br>`t(x)=u^qx+x^qu`<br>`X^{2^i+1}+aX+b` has no solution over `\mathbb{F}_{2^m}`",:cite:p:`Taniguchi:201909`
C13,`x^3 + a(x^{2^i+1})^{2^k} + bx^{3 \cdot 2^m} + c(x^{2^{i+m}+2^m})^{2^k}`,"`n=2m=10`<br>`(a,b,c)=(\beta, 0, 0)`<br>`i=3`<br>`k=2`<br>`\beta` primitive in `\mathbb{F}_{2^2}`<br>`n=2m`<br>`m` odd<br>`3 \nmid m`<br>`(a,b,c)=(\beta, \beta^2, 1)`<br>`\beta` primitive in `\mathbb{F}_{2^2}`<br>`i \in \{m-2, m, 2m-1, (m-2)^{-1} \pmod n\}`",:cite:p:`Zhou:201302`
