"Dimension","F","mF","Lower bound"
"4","x3","3","2"
"5","x3","15","6"
"5","x5","15","6"
"5","x15","9","4"
"6","1.1","27","10"
"6","1.2","27","10"
"6","2.1","15","6"
"6","2.2","27","10"
"6","2.3","27","10"
"6","2.4","15","6"
"6","2.5","15","6"
"6","2.6","15","6"
"6","2.7","15","6"
"6","2.8","15","6"
"6","2.9","21","8"
"6","2.10","21","8"
"6","2.11","15","6"
"6","2.12","15","6"
"7","7.1","54","19"
"7","all others","63","22"
"8","1.1 - 1.13","111","38"
"8","1.14","99","34"
"8","1.15 - 1.17","111","38"
"8","2.1","111","38"
"8","3.1","111","38"
"8","4.1","99","34"
"8","5.1","105","36"
"8","6.1","105","36"
"8","7.1","111","38"
"9","9.7","231","78"
"9","all others","255","86"
"10","10.4","477","160"
"10","all others","495","166"
"11","11.12","978","327"
"11","all others","1023","342"
