ID,Partition sizes
1,"1, 1, 7, 14, 21, 23, 42, 49, 98"
2,"1, 1, 8, 14, 28, 28, 28, 42, 42, 64"
3,"1, 8, 14, 21, 22, 42, 56, 92"
4,"1, 1, 7, 9, 14, 14, 21, 42, 42, 49, 56"
5,"1, 1, 2, 7, 14, 14, 28, 28, 42, 49, 70"
6,"1, 1, 7, 9, 14, 14, 21, 42, 42, 49, 56"
7,"1, 7, 8, 15, 21, 28, 28, 42, 50, 56"
8,"1, 1, 7, 23, 35, 91, 98"
9,"1, 7, 8, 15, 21, 28, 28, 42, 50, 56"
10,"1, 2, 4, 4, 10, 15, 20, 40, 40, 60, 60"
11,"1, 1, 3, 4, 5, 5, 5, 25, 35, 42, 60, 70"
12,"1, 1, 3, 4, 5, 5, 5, 25, 35, 42, 60, 70"
13,"1, 2, 4, 4, 10, 15, 20, 40, 40, 60, 60"
14,"1, 85, 170"
15,"1, 85, 170"
16,"1, 1, 1, 2, 5, 11, 15, 25, 30, 30, 40, 40, 55"
17,"1, 1, 3, 5, 5, 5, 10, 10, 12, 14, 30, 45, 50, 65"
18,"1, 1, 3, 5, 5, 5, 10, 10, 12, 14, 30, 45, 50, 65"
19,"1, 1, 3, 24, 46, 77, 104"
20,"1, 6, 25, 38, 42, 144"
21,"1, 2, 30, 49, 78, 96"
22,"1, 8, 24, 37, 90, 96"
23,"1, 3, 5, 21, 40, 84, 102"
24,"1, 5, 27, 43, 84, 96"
25,"1, 5, 27, 43, 84, 96"
26,"1, 1, 3, 24, 46, 77, 104"
27,"1, 5, 27, 43, 84, 96"
28,"1, 1, 3, 27, 43, 83, 98"
29,"1, 3, 8, 18, 34, 90, 102"
30,"1, 2, 30, 49, 78, 96"
31,"1, 1, 3, 24, 46, 77, 104"
32,"1, 1, 3, 24, 46, 77, 104"
33,"1, 8, 24, 37, 90, 96"
34,"1, 2, 3, 24, 37, 87, 102"
35,"1, 3, 7, 19, 36, 88, 102"
36,"1, 5, 27, 43, 84, 96"
37,"1, 6, 25, 38, 42, 144"
38,"1, 2, 6, 18, 43, 78, 108"
39,"1, 1, 2, 2, 2, 3, 3, 4, 7, 8, 10, 32, 54, 54, 73"
40,"1, 1, 1, 1, 2, 2, 3, 8, 9, 11, 15, 29, 50, 53, 70"
41,"1, 2, 2, 2, 3, 3, 4, 5, 11, 22, 37, 50, 56, 58"
42,"1, 1, 1, 2, 2, 6, 6, 8, 15, 18, 27, 48, 50, 71"
43,"1, 1, 1, 1, 1, 2, 3, 7, 9, 10, 11, 37, 51, 52, 69"
44,"1, 1, 1, 1, 1, 2, 3, 3, 7, 23, 24, 39, 40, 52, 58"
45,"1, 1, 1, 1, 1, 2, 3, 7, 11, 12, 22, 39, 49, 50, 56"
46,"1, 1, 1, 1, 1, 2, 3, 5, 5, 7, 13, 17, 18, 43, 55, 83"
47,"1, 2, 2, 3, 4, 8, 13, 13, 14, 16, 48, 52, 80"
48,"1, 1, 1, 1, 2, 3, 7, 13, 13, 16, 31, 49, 54, 64"
49,"1, 1, 1, 2, 2, 4, 6, 7, 14, 18, 40, 43, 58, 59"
50,"1, 1, 1, 2, 2, 2, 4, 6, 8, 9, 11, 36, 50, 51, 72"
51,"1, 1, 2, 2, 2, 2, 3, 4, 6, 13, 15, 28, 48, 56, 73"
